EDAD_V,NIV,INGRESO,SEXO,REGION
55,3,1800,1,5
41,3,2000,1,6
20,8,1600,2,2
68,8,,1,1
42,6,,2,5
44,2,900,1,5
56,5,8000,2,3
35,6,1500,2,1
42,8,,2,3
22,3,300,2,2
61,3,800,2,6
37,8,20000,1,5
49,7,8000,1,4
33,6,,2,6
44,8,12000,1,5
61,3,,1,5
37,8,1800,2,5
52,3,2000,1,3
21,3,15000,1,6
24,6,12000,1,3
28,8,10000,1,1
22,6,2500,2,1
56,3,400,2,4
60,8,,1,1
22,8,5000,2,3
48,3,2500,1,6
24,8,,2,6
44,3,2700,1,1
41,8,50000,1,3
43,3,3800,1,3
33,2,4000,1,3
62,3,,2,5
71,2,,2,5
41,8,1600,2,6
37,10,1200,2,3
20,6,2000,2,6
24,6,4000,1,6
40,3,1000,1,5
53,7,,2,1
33,2,,2,5
29,8,18000,2,2
37,8,3750,2,3
69,0,4000,1,6
56,7,1050,2,6
44,2,3000,1,6
77,2,,1,2
51,3,2500,1,2
35,3,5500,1,1
54,8,4000,2,1
66,3,3000,1,3
42,6,,1,1
80,8,,1,5
37,3,,2,6
64,2,1250,1,3
45,7,6000,2,1
30,3,0,2,6
38,0,,2,6
78,2,300,2,2
41,3,500,2,6
37,2,,2,6
44,8,40000,1,3
18,6,1200,1,2
69,6,,2,2
33,10,6000,2,2
33,3,3000,1,3
26,8,5000,1,2
60,8,3500,1,5
49,0,,2,3
72,7,,2,2
60,3,1800,1,5
65,3,1200,1,6
37,3,2000,1,2
51,8,13000,2,3
38,2,1200,2,5
31,8,5000,2,6
67,6,,2,1
31,3,1500,1,4
54,2,,2,1
75,0,,2,2
24,6,1950,2,5
22,2,,2,5
45,3,2700,1,1
49,3,7000,2,5
21,8,3500,1,2
73,5,,2,2
50,7,3000,1,5
37,3,1300,2,3
30,3,600,2,6
40,10,5000,1,5
55,2,500,2,5
51,8,,2,6
65,2,4500,1,6
51,3,1000,2,5
63,2,,1,6
50,6,12000,1,4
52,6,0,2,5
62,10,,2,5
40,6,2000,2,1
29,6,2300,1,4
40,8,5000,2,1
47,3,6000,1,5
79,3,,1,3
32,6,1900,1,3
43,3,6000,1,6
30,3,1800,1,2
55,3,,1,1
62,2,1000,1,1
52,3,6000,2,2
26,8,12000,1,3
21,3,,1,3
33,3,2000,2,3
26,6,1600,1,5
63,3,,2,1
49,6,6000,1,3
60,6,1500,1,5
60,3,1500,2,3
29,6,3000,2,3
39,2,,2,5
54,2,2000,2,5
34,6,9000,2,1
76,3,,1,5
40,3,,1,2
22,3,500,1,3
77,2,,2,3
29,6,,1,4
44,8,60000,1,6
31,3,600,2,3
51,8,8000,1,5
51,7,2000,2,1
26,3,,2,3
47,6,2000,1,3
62,2,3500,1,6
64,2,,1,2
66,3,1500,2,5
30,2,1500,1,5
77,2,,2,2
66,0,4000,1,1
59,2,,2,5
40,3,1000,2,4
44,2,,2,6
36,3,2500,1,5
40,6,2000,1,4
46,10,50000,1,2
33,3,5000,2,1
56,8,,2,2
18,6,,1,6
61,0,1800,1,2
71,5,7000,2,1
28,8,20000,1,6
45,6,4000,1,1
26,8,2000,1,2
67,2,,2,3
52,3,1500,1,2
46,8,,1,2
52,2,1500,2,6
44,8,,1,6
19,6,600,2,6
54,8,2500,2,4
60,6,12000,1,3
33,6,2500,2,2
58,8,,1,1
37,3,1500,2,2
18,8,300,2,6
38,2,,2,3
92,0,,1,3
48,6,9000,1,4
36,3,6000,1,2
53,8,1500,2,3
83,8,,1,1
32,3,,2,6
38,8,25000,2,1
34,6,3000,1,2
44,3,,2,3
31,3,,2,6
24,3,1800,1,6
48,3,,2,3
91,0,,1,6
32,3,1500,2,2
35,6,1800,2,6
65,3,,1,1
49,3,800,2,5
33,8,,2,5
49,3,2000,2,2
68,3,800,1,3
37,8,,2,2
31,8,,2,6
58,2,1500,1,5
38,3,,2,5
20,8,1200,1,2
54,3,300,2,2
71,2,1000,1,6
48,8,,1,2
28,8,10000,1,3
74,8,,2,5
25,8,2000,2,2
54,3,0,1,6
72,3,,1,6
23,8,,1,5
24,3,,2,1
22,6,4000,1,6
63,10,,2,3
30,3,,2,5
32,8,,2,3
39,2,2800,1,5
60,11,,2,6
30,0,2600,1,1
41,3,3000,1,6
57,6,,2,2
52,3,3200,1,6
68,8,,1,5
50,3,2500,1,3
35,8,3000,2,5
60,0,900,1,2
72,3,,2,1
40,3,2000,1,5
28,3,,2,6
29,8,3500,1,4
29,3,12000,1,3
66,2,,2,1
36,6,12500,1,5
40,6,6500,2,5
20,8,80000,1,6
86,2,,1,3
23,3,6000,1,2
28,8,4000,1,5
36,7,4000,2,3
74,6,6300,1,6
59,3,500,2,6
35,9,15000,1,2
33,8,,2,2
54,3,2000,1,2
43,8,6500,2,2
58,8,5000,1,5
69,2,,1,2
82,3,,2,6
40,6,3500,2,2
64,2,,2,6
24,2,300,2,3
47,8,,1,4
67,3,,2,3
49,3,1000,2,5
37,3,2000,2,6
53,3,,1,3
23,8,4500,2,1
25,0,,2,6
22,7,2500,1,2
54,3,3000,1,2
64,0,,2,5
49,2,1600,1,1
35,3,8400,2,3
38,6,10000,1,2
23,2,2000,1,2
67,3,,1,6
56,3,,2,1
49,6,,2,6
31,3,1700,2,2
80,8,,1,1
75,8,,1,6
23,6,,2,1
55,2,1000,1,5
61,2,,2,5
64,3,6000,2,4
54,7,,2,1
42,3,,1,3
58,3,,2,2
47,8,3500,2,6
25,6,10000,1,1
50,2,2000,1,6
28,8,3000,1,1
32,6,3100,1,2
40,6,2800,2,6
52,3,2000,1,1
31,3,,2,5
53,3,450,2,6
50,6,1000,2,6
70,2,1000,2,5
37,8,120,2,6
55,11,50000,1,3
36,3,2500,1,6
39,3,8000,1,6
43,3,,2,4
27,3,,2,5
30,3,10000,1,1
69,3,400,2,5
36,3,6000,2,6
39,3,2000,1,5
48,8,1700,1,1
20,2,,2,6
65,0,,2,2
35,3,2000,1,3
20,6,,2,6
47,6,3700,1,5
22,8,,2,1
53,3,,2,5
74,1,,1,3
21,8,,1,6
52,3,9000,1,5
51,3,3800,2,6
18,6,,1,3
29,8,12000,2,4
63,8,,2,6
28,3,2600,1,2
59,7,2000,1,1
25,8,12000,2,3
48,6,,2,3
73,10,,1,4
43,2,,2,3
53,3,3500,1,2
74,2,,2,2
31,6,10000,1,6
56,8,,1,1
47,0,,2,6
50,2,,2,6
30,3,1500,2,3
45,2,,2,1
19,6,,2,6
68,0,,2,2
44,8,10000,1,6
42,2,200,2,5
21,3,400,2,6
80,0,700,2,5
27,3,1000,1,1
40,3,,2,3
23,8,14000,1,3
43,2,2000,1,1
18,6,,1,5
30,8,300,2,3
38,2,3000,1,6
48,6,,1,5
36,6,9000,1,6
35,3,,2,4
20,6,800,1,5
28,3,2000,1,6
36,9,7000,2,1
41,3,,2,3
25,2,,2,5
51,2,,1,6
42,6,2000,2,6
68,8,,2,5
28,3,2000,2,3
24,3,400,2,6
30,6,,1,2
38,8,40000,1,3
18,6,,2,1
77,0,,2,3
44,0,2000,1,5
36,2,,2,6
33,6,2300,1,5
53,3,2000,1,4
49,9,6000,2,3
19,8,,1,6
45,6,,1,4
52,2,750,1,5
60,3,900,2,4
44,2,,2,6
51,3,,1,2
77,2,,1,3
51,8,3000,2,5
51,3,800,1,1
72,2,1000,1,6
19,3,,2,6
40,8,,1,2
24,8,,2,3
35,6,800,2,3
19,6,,2,2
25,8,7000,1,6
56,2,1800,2,3
52,3,2000,2,2
28,3,,2,6
24,3,4500,2,1
30,8,8500,2,6
50,2,,2,6
19,6,,2,1
54,3,,2,3
70,0,1200,1,5
64,3,,2,2
25,3,1400,1,2
19,6,,2,3
37,2,,2,1
35,5,,2,5
25,6,12000,2,3
45,8,18000,2,3
70,8,,2,1
22,8,,1,1
24,6,9300,2,3
40,0,1700,2,6
19,6,,2,3
20,3,2100,1,5
48,3,,2,1
38,8,18000,2,4
20,2,500,1,6
37,2,1500,2,6
20,6,,2,6
39,2,900,2,6
57,3,1000,2,2
27,8,15000,2,4
36,3,35000,1,6
29,6,8000,2,3
57,2,,2,6
50,6,1500,2,5
38,3,1200,2,4
43,8,8000,1,2
19,8,,2,2
52,2,,2,2
68,3,,1,2
21,8,,2,5
65,6,280,2,3
69,2,,2,2
77,5,13000,2,4
52,3,,2,3
55,8,4000,2,6
40,2,2000,2,5
21,8,8000,1,6
19,6,2400,2,5
32,8,10000,2,6
32,8,12000,1,4
18,3,,1,2
48,3,,1,3
31,2,2000,1,1
91,2,,2,5
36,3,,2,3
63,8,9000,1,4
40,2,,2,6
18,6,,2,5
63,8,12000,2,3
66,8,,2,1
26,3,1866,1,2
53,3,2000,2,1
55,8,,1,1
84,2,,2,3
20,3,1200,1,2
65,5,,2,1
78,2,,1,2
18,2,,2,3
23,8,700,1,2
87,8,,2,1
27,3,,2,3
55,6,,2,5
19,8,750,1,6
39,6,3000,2,3
30,3,1200,2,3
32,6,1300,1,5
36,3,2000,1,6
75,8,25000,2,5
25,3,2000,1,5
38,2,1600,1,3
48,3,,2,3
19,2,,2,3
63,0,1400,2,3
46,0,0,2,6
30,8,16000,2,1
22,8,,1,3
36,3,800,1,5
53,8,,1,2
29,3,3000,2,6
80,2,,2,2
23,6,10000,1,1
56,3,2000,1,5
33,2,1400,1,2
56,8,0,2,6
34,8,10200,1,3
25,6,2500,1,5
38,3,1500,1,5
40,8,7000,1,6
36,2,1000,1,5
74,2,,1,2
35,8,8000,1,1
26,6,2000,1,1
50,7,4000,2,3
21,6,2800,2,2
18,6,,2,1
30,3,1000,1,2
23,8,3400,2,4
66,8,0,1,6
37,2,,2,6
71,2,,2,1
42,2,500,2,6
21,3,,2,6
61,8,,2,1
23,8,,1,5
34,6,1800,2,3
43,2,3500,1,3
67,0,300,2,2
67,3,,2,5
30,7,8500,1,4
37,6,,2,3
47,8,,2,2
26,6,,2,2
43,2,,2,3
67,5,,2,5
66,2,,2,5
82,0,,2,2
51,6,7000,1,5
32,6,3000,2,2
70,6,,2,2
31,8,9000,1,6
28,10,20000,1,2
95,0,,1,3
35,3,1000,2,1
33,8,1900,2,2
59,6,2000,2,6
56,3,4000,1,3
27,3,500,2,6
70,2,2000,1,2
67,2,,1,6
31,7,4000,1,1
62,3,1000,1,1
39,8,16000,1,3
36,6,1000,1,3
18,3,2700,2,1
27,8,3000,2,1
62,6,600,2,5
21,6,13800,1,1
65,3,,2,5
32,2,,2,3
89,0,,1,1
24,3,,2,1
47,5,2800,2,2
67,8,8000,1,6
48,6,2000,1,3
31,8,7000,1,4
28,3,,2,1
39,2,2900,2,1
57,2,,1,3
30,3,,2,2
20,8,1700,1,1
37,6,3700,2,3
66,3,500,2,5
42,8,4000,2,5
67,2,7000,1,6
53,3,8000,1,1
42,3,1700,2,2
31,6,10000,1,6
50,2,3000,1,1
53,3,1300,1,4
32,3,1000,1,6
62,8,,2,5
54,6,3000,1,5
42,3,1100,2,5
31,8,15000,2,2
50,6,3800,1,3
40,5,,2,2
19,6,,2,1
45,2,3000,1,4
57,6,2450,1,5
21,8,,1,5
36,6,,2,6
48,8,4000,1,2
46,8,7000,1,6
23,3,1500,2,5
42,2,1600,1,6
59,10,3000,2,5
28,8,300,2,3
25,8,,1,4
33,3,1500,2,3
35,3,3200,2,3
39,8,1000,2,5
56,3,5000,2,3
68,0,,2,6
24,6,1000,2,2
73,2,500,2,5
57,6,,1,2
22,8,600,1,1
43,8,7000,2,5
49,2,2000,1,2
57,2,,2,6
32,2,2000,2,6
37,6,6000,1,5
34,3,700,1,1
33,6,1800,1,2
46,0,1500,2,1
